SettlementDate,SettlementPeriod,Generation
2016-01-23,25,36505
2016-01-23,26,36448
2016-01-23,27,36215
2016-01-23,28,36008
2016-01-23,29,35855
2016-01-23,30,35916
2016-01-23,31,36384
2016-01-23,32,36889
2016-01-23,33,38354
2016-01-23,34,40883
2016-01-23,35,42899
2016-01-23,36,43057
2016-01-23,37,42411
2016-01-23,38,41190
2016-01-23,39,39984
2016-01-23,40,38409
2016-01-23,41,37025
2016-01-23,42,35475
2016-01-23,43,34109
2016-01-23,44,32867
2016-01-23,45,31323
2016-01-23,46,30179
2016-01-23,47,28814
2016-01-23,48,28517
2016-01-24,1,27604
2016-01-24,2,27855
2016-01-24,3,27336
2016-01-24,4,26327
2016-01-24,5,25664
2016-01-24,6,25383
2016-01-24,7,24704
2016-01-24,8,24089
2016-01-24,9,23657
2016-01-24,10,23253
2016-01-24,11,22947
2016-01-24,12,22916
2016-01-24,13,23714
2016-01-24,14,24394
2016-01-24,15,25411
2016-01-24,16,25999
2016-01-24,17,27527
2016-01-24,18,29326
2016-01-24,19,31255
2016-01-24,20,32512
2016-01-24,21,33628
2016-01-24,22,34334
2016-01-24,23,34982
2016-01-24,24,35420
2016-01-24,25,35766
2016-01-24,26,35657
2016-01-24,27,35419
2016-01-24,28,35153
2016-01-24,29,35126
2016-01-24,30,35060
2016-01-24,31,35252
2016-01-24,32,35987
2016-01-24,33,37398
2016-01-24,34,40174
2016-01-24,35,41872
2016-01-24,36,41904
2016-01-24,37,41415
2016-01-24,38,40438
2016-01-24,39,39139
2016-01-24,40,37849
2016-01-24,41,36697
2016-01-24,42,35050
2016-01-24,43,33735
2016-01-24,44,31756
2016-01-24,45,30323
2016-01-24,46,28654
2016-01-24,47,26601
2016-01-24,48,27907
2016-01-25,1,25292
2016-01-25,2,25642
2016-01-25,3,25436
2016-01-25,4,24807
2016-01-25,5,24447
2016-01-25,6,24126
2016-01-25,7,23598
2016-01-25,8,23104
2016-01-25,9,22986
2016-01-25,10,22994
2016-01-25,11,23745
2016-01-25,12,24954
2016-01-25,13,28433
2016-01-25,14,31826
2016-01-25,15,36269
2016-01-25,16,38242
2016-01-25,17,38720
2016-01-25,18,38288
2016-01-25,19,38579
2016-01-25,20,38436
2016-01-25,21,38327
2016-01-25,22,38200
2016-01-25,23,38189
2016-01-25,24,38254
2016-01-25,25,38497
2016-01-25,26,38210
2016-01-25,27,37904
2016-01-25,28,37816
2016-01-25,29,37848
2016-01-25,30,37868
2016-01-25,31,38050
2016-01-25,32,39090
2016-01-25,33,40675
2016-01-25,34,43095
2016-01-25,35,45454
2016-01-25,36,45541
2016-01-25,37,45015
2016-01-25,38,44228
2016-01-25,39,43201
2016-01-25,40,41943
2016-01-25,41,40684
2016-01-25,42,39221
2016-01-25,43,37629
2016-01-25,44,35354
2016-01-25,45,33205
2016-01-25,46,31256
2016-01-25,47,29070
2016-01-25,48,25406
2016-01-26,1,27535
2016-01-26,2,27696
2016-01-26,3,27218
2016-01-26,4,26343
2016-01-26,5,25708
2016-01-26,6,25322
2016-01-26,7,24674
2016-01-26,8,24095
2016-01-26,9,23679
2016-01-26,10,23681
2016-01-26,11,24225
2016-01-26,12,25621
2016-01-26,13,28936
2016-01-26,14,32449
2016-01-26,15,36571
2016-01-26,16,38436
2016-01-26,17,38959
2016-01-26,18,38986
2016-01-26,19,39692
2016-01-26,20,39805
2016-01-26,21,39815
2016-01-26,22,39509
2016-01-26,23,40401
2016-01-26,24,40695
2016-01-26,25,41042
2016-01-26,26,40882
2016-01-26,27,40902
2016-01-26,28,40760
2016-01-26,29,40630
2016-01-26,30,40397
2016-01-26,31,40430
2016-01-26,32,41331
2016-01-26,33,42508
2016-01-26,34,44485
2016-01-26,35,45921
2016-01-26,36,45807
2016-01-26,37,45216
